openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 30041
exact = 1.269353633414169e+00
n = 430, r = 0.383616, dH = 0.958114, is_accept = 0
n = 431, r = 0.374076, dH = 0.983297, is_accept = 0
n = 432, r = 0.56883, dH = 0.564174, is_accept = 0
n = 433, r = 0.516191, dH = 0.661278, is_accept = 1
n = 434, r = 1, dH = -0.483533, is_accept = 1
n = 435, r = 0.554645, dH = 0.589426, is_accept = 1
n = 436, r = 0.860983, dH = 0.149681, is_accept = 1
n = 437, r = 1, dH = -0.0196997, is_accept = 1
n = 438, r = 1, dH = -0.155853, is_accept = 1
n = 439, r = 1, dH = -0.409455, is_accept = 1
n = 440, r = 0.885321, dH = 0.121806, is_accept = 1
n = 441, r = 0.593177, dH = 0.522262, is_accept = 1
n = 442, r = 0.76403, dH = 0.269149, is_accept = 1
n = 443, r = 1, dH = -0.17021, is_accept = 1
n = 444, r = 0.912129, dH = 0.091974, is_accept = 1
n = 445, r = 1, dH = -0.485482, is_accept = 1
n = 446, r = 0.558148, dH = 0.583132, is_accept = 1
n = 447, r = 0.777988, dH = 0.251044, is_accept = 1
n = 448, r = 1, dH = -0.534401, is_accept = 1
n = 449, r = 1, dH = -0.167832, is_accept = 1
n = 450, r = 1, dH = -0.00976774, is_accept = 1
n = 451, r = 0.769831, dH = 0.261585, is_accept = 1
n = 452, r = 1, dH = -0.364801, is_accept = 1
n = 453, r = 0.810447, dH = 0.210169, is_accept = 1
n = 454, r = 0.722063, dH = 0.325643, is_accept = 0
n = 455, r = 1, dH = -0.0616249, is_accept = 1
n = 456, r = 1, dH = -0.77735, is_accept = 1
n = 457, r = 0.734493, dH = 0.308575, is_accept = 1
n = 458, r = 1, dH = -0.254526, is_accept = 1
n = 459, r = 0.982883, dH = 0.0172656, is_accept = 1
n = 460, r = 1, dH = -0.362601, is_accept = 1
n = 461, r = 1, dH = -0.596396, is_accept = 1
n = 462, r = 0.896169, dH = 0.109626, is_accept = 1
n = 463, r = 1, dH = -0.0170492, is_accept = 1
n = 464, r = 0.36153, dH = 1.01741, is_accept = 1
n = 465, r = 1, dH = -0.161767, is_accept = 1
n = 466, r = 0.7632, dH = 0.270236, is_accept = 1
n = 467, r = 1, dH = -0.612375, is_accept = 1
n = 468, r = 1, dH = -0.533832, is_accept = 1
n = 469, r = 0.70277, dH = 0.352725, is_accept = 1
n = 470, r = 1, dH = -0.330312, is_accept = 1
n = 471, r = 0.416161, dH = 0.876682, is_accept = 1
n = 472, r = 1, dH = -0.457973, is_accept = 1
n = 473, r = 0.958026, dH = 0.0428798, is_accept = 1
