openmp threads = 1
eigen threads = 1
seed = 27141
exact = 1.027668950414026e+00
n = 386, r = 0.336524, dH = 1.08909, is_accept = 1
n = 387, r = 0.973769, dH = 0.0265815, is_accept = 1
n = 388, r = 0.97941, dH = 0.0208049, is_accept = 1
n = 389, r = 0.957004, dH = 0.0439474, is_accept = 1
n = 390, r = 1.22294e-22, dH = 50.4556, is_accept = 0
n = 391, r = 0.574337, dH = 0.55454, is_accept = 1
n = 392, r = 1, dH = -0.06306, is_accept = 1
n = 393, r = 0.0497648, dH = 3.00045, is_accept = 0
n = 394, r = 0.0649906, dH = 2.73351, is_accept = 0
n = 395, r = 0.949558, dH = 0.0517591, is_accept = 1
n = 396, r = 0.537078, dH = 0.621611, is_accept = 1
n = 397, r = 0.32441, dH = 1.12575, is_accept = 1
n = 398, r = 1, dH = -0.00476608, is_accept = 1
n = 399, r = 0.847413, dH = 0.165568, is_accept = 0
n = 400, r = 0.252732, dH = 1.37543, is_accept = 0
n = 401, r = 0.957044, dH = 0.0439062, is_accept = 1
n = 402, r = 0.000145711, dH = 8.83389, is_accept = 0
n = 403, r = 1, dH = -0.116309, is_accept = 1
n = 404, r = 0.73957, dH = 0.301686, is_accept = 0
n = 405, r = 0.469755, dH = 0.755543, is_accept = 1
n = 406, r = 1, dH = -0.00510769, is_accept = 1
n = 407, r = 0.813022, dH = 0.206997, is_accept = 1
n = 408, r = 0.689568, dH = 0.37169, is_accept = 1
n = 409, r = 0.0559925, dH = 2.88254, is_accept = 0
n = 410, r = 0.837818, dH = 0.176955, is_accept = 1
n = 411, r = 1, dH = -0.075526, is_accept = 1
n = 412, r = 0.698275, dH = 0.359142, is_accept = 1
n = 413, r = 1, dH = -0.0792347, is_accept = 1
n = 414, r = 0.796054, dH = 0.228089, is_accept = 1
n = 415, r = 1, dH = -0.301236, is_accept = 1
n = 416, r = 1, dH = -0.282931, is_accept = 1
n = 417, r = 0.901592, dH = 0.103593, is_accept = 1
n = 418, r = 0.854863, dH = 0.156815, is_accept = 1
n = 419, r = 1, dH = -0.192357, is_accept = 1
n = 420, r = 0.854208, dH = 0.15758, is_accept = 1
n = 421, r = 1, dH = -0.114763, is_accept = 1
n = 422, r = 1, dH = -0.123733, is_accept = 1
n = 423, r = 0.980394, dH = 0.0198003, is_accept = 1
n = 424, r = 1.65463e-07, dH = 15.6145, is_accept = 0
n = 425, r = 1, dH = -1.29855, is_accept = 1
n = 426, r = 1, dH = -0.174228, is_accept = 1
n = 427, r = 0.549161, dH = 0.599363, is_accept = 0
n = 428, r = 0.846475, dH = 0.166675, is_accept = 1
n = 429, r = 1, dH = -0.169129, is_accept = 1
n = 430, r = 0.747463, dH = 0.29107, is_accept = 1
n = 431, r = 0.904149, dH = 0.100761, is_accept = 1
n = 432, r = 0.730256, dH = 0.314361, is_accept = 1
n = 433, r = 0.69566, dH = 0.362895, is_accept = 1
n = 434, r = 0.142412, dH = 1.94903, is_accept = 0
n = 435, r = 0.478019, dH = 0.738104, is_accept = 0
n = 436, r = 0.960348, dH = 0.0404593, is_accept = 1
n = 437, r = 0.692056, dH = 0.368088, is_accept = 1
n = 438, r = 1, dH = -0.357917, is_accept = 1
n = 439, r = 0.76274, dH = 0.270839, is_accept = 1
n = 440, r = 1, dH = -0.00998639, is_accept = 1
n = 441, r = 0.818351, dH = 0.200464, is_accept = 1
n = 442, r = 0.727054, dH = 0.318754, is_accept = 1
n = 443, r = 0.0582903, dH = 2.84232, is_accept = 0
n = 444, r = 0.959727, dH = 0.0411066, is_accept = 1
n = 445, r = 0.124829, dH = 2.08081, is_accept = 1
n = 446, r = 0.408702, dH = 0.89477, is_accept = 1
n = 447, r = 1, dH = -0.28587, is_accept = 1
n = 448, r = 0.0281248, dH = 3.5711, is_accept = 0
