openmp threads = 1
eigen threads = 1
seed = 5105
exact = 1.197714742754041e+00
n = 433, r = 0.934303, dH = 0.0679541, is_accept = 1
n = 434, r = 0.967941, dH = 0.0325843, is_accept = 1
n = 435, r = 0.410824, dH = 0.88959, is_accept = 1
n = 436, r = 1, dH = -0.247416, is_accept = 1
n = 437, r = 0.536597, dH = 0.622509, is_accept = 0
n = 438, r = 0.26692, dH = 1.32081, is_accept = 0
n = 439, r = 0.000361872, dH = 7.92422, is_accept = 0
n = 440, r = 0.949549, dH = 0.0517686, is_accept = 1
n = 441, r = 1, dH = -0.295681, is_accept = 1
n = 442, r = 1, dH = -0.261908, is_accept = 1
n = 443, r = 1, dH = -0.337408, is_accept = 1
n = 444, r = 1, dH = -0.128175, is_accept = 1
n = 445, r = 1, dH = -0.0735921, is_accept = 1
n = 446, r = 0.676432, dH = 0.390924, is_accept = 1
n = 447, r = 0.806907, dH = 0.214547, is_accept = 1
n = 448, r = 1, dH = -0.223462, is_accept = 1
n = 449, r = 0.569122, dH = 0.56366, is_accept = 1
n = 450, r = 1, dH = -0.168474, is_accept = 1
n = 451, r = 1, dH = -0.0920964, is_accept = 1
n = 452, r = 1, dH = -0.274988, is_accept = 1
n = 453, r = 0.816956, dH = 0.20217, is_accept = 1
n = 454, r = 1, dH = -0.242764, is_accept = 1
n = 455, r = 0.743062, dH = 0.296976, is_accept = 1
n = 456, r = 0.874691, dH = 0.133885, is_accept = 1
n = 457, r = 0.718207, dH = 0.330997, is_accept = 1
n = 458, r = 0.924648, dH = 0.0783424, is_accept = 1
n = 459, r = 0.994077, dH = 0.00594075, is_accept = 1
n = 460, r = 1, dH = -0.0391001, is_accept = 1
n = 461, r = 1, dH = -0.0490992, is_accept = 1
n = 462, r = 0.639195, dH = 0.447546, is_accept = 1
n = 463, r = 0.844445, dH = 0.169075, is_accept = 1
n = 464, r = 1, dH = -0.187496, is_accept = 1
n = 465, r = 0.813304, dH = 0.206651, is_accept = 1
n = 466, r = 0.994478, dH = 0.00553687, is_accept = 1
