openmp threads = 1
eigen threads = 1
seed = 97
exact = 1.216718433734802e+00
n = 290, r = 1, dH = -0.353877, is_accept = 1
n = 291, r = 1, dH = -0.402302, is_accept = 1
n = 292, r = 0.789801, dH = 0.235974, is_accept = 0
n = 293, r = 0.736574, dH = 0.305746, is_accept = 0
n = 294, r = 1, dH = -0.0197365, is_accept = 1
n = 295, r = 1, dH = -0.715728, is_accept = 1
n = 296, r = 1, dH = -0.05013, is_accept = 1
n = 297, r = 1, dH = -0.00400341, is_accept = 1
n = 298, r = 1, dH = -2.22095, is_accept = 1
n = 299, r = 0.719942, dH = 0.328584, is_accept = 1
n = 300, r = 0.697967, dH = 0.359583, is_accept = 1
n = 301, r = 1, dH = -0.0588921, is_accept = 1
n = 302, r = 0.883355, dH = 0.124028, is_accept = 1
n = 303, r = 1, dH = -0.287317, is_accept = 1
n = 304, r = 0.822726, dH = 0.195131, is_accept = 1
n = 305, r = 1, dH = -0.743311, is_accept = 1
n = 306, r = 0.0144517, dH = 4.23694, is_accept = 0
n = 307, r = 1, dH = -0.0497619, is_accept = 1
n = 308, r = 0.00160326, dH = 6.43572, is_accept = 0
n = 309, r = 0.574004, dH = 0.555119, is_accept = 1
n = 310, r = 0.865799, dH = 0.144103, is_accept = 1
n = 311, r = 0.0897524, dH = 2.4107, is_accept = 1
n = 312, r = 0.935058, dH = 0.0671472, is_accept = 1
n = 313, r = 1, dH = -0.385547, is_accept = 1
n = 314, r = 1, dH = -0.677807, is_accept = 1
n = 315, r = 0.837569, dH = 0.177252, is_accept = 1
n = 316, r = 0.432381, dH = 0.838449, is_accept = 0
n = 317, r = 0.740711, dH = 0.300144, is_accept = 1
n = 318, r = 0.205087, dH = 1.58432, is_accept = 0
n = 319, r = 1, dH = -0.818814, is_accept = 1
n = 320, r = 1, dH = -0.155408, is_accept = 1
n = 321, r = 0.00187171, dH = 6.2809, is_accept = 0
n = 322, r = 1, dH = -0.198904, is_accept = 1
n = 323, r = 1, dH = -0.41264, is_accept = 1
n = 324, r = 1, dH = -0.163246, is_accept = 1
n = 325, r = 0.901359, dH = 0.103852, is_accept = 1
n = 326, r = 1, dH = -0.19302, is_accept = 1
n = 327, r = 0.56805, dH = 0.565546, is_accept = 0
n = 328, r = 1, dH = -0.142199, is_accept = 1
n = 329, r = 0.625669, dH = 0.468933, is_accept = 1
n = 330, r = 1, dH = -0.154681, is_accept = 1
n = 331, r = 1, dH = -0.176369, is_accept = 1
n = 332, r = 0.00170162, dH = 6.37617, is_accept = 0
n = 333, r = 0.7107, dH = 0.341505, is_accept = 0
n = 334, r = 0.892743, dH = 0.113457, is_accept = 1
n = 335, r = 2.81982e-08, dH = 17.384, is_accept = 0
n = 336, r = 0.612781, dH = 0.489748, is_accept = 1
n = 337, r = 0.886477, dH = 0.120501, is_accept = 1
n = 338, r = 0.813364, dH = 0.206577, is_accept = 1
n = 339, r = 0.977669, dH = 0.0225846, is_accept = 1
n = 340, r = 1, dH = -0.0732896, is_accept = 1
n = 341, r = 1, dH = -0.482151, is_accept = 1
n = 342, r = 0.932455, dH = 0.0699347, is_accept = 1
n = 343, r = 0.444833, dH = 0.810056, is_accept = 1
n = 344, r = 1, dH = -0.30129, is_accept = 1
n = 345, r = 0.965445, dH = 0.0351667, is_accept = 1
n = 346, r = 0.862863, dH = 0.147499, is_accept = 1
n = 347, r = 0.924065, dH = 0.0789732, is_accept = 1
n = 348, r = 0.00205164, dH = 6.18911, is_accept = 0
n = 349, r = 0.92813, dH = 0.0745832, is_accept = 1
n = 350, r = 0.850879, dH = 0.161485, is_accept = 1
n = 351, r = 0.590915, dH = 0.526082, is_accept = 1
n = 352, r = 1, dH = -0.00573219, is_accept = 1
n = 353, r = 0.724952, dH = 0.32165, is_accept = 1
n = 354, r = 0.746511, dH = 0.292346, is_accept = 0
n = 355, r = 0.0093669, dH = 4.67057, is_accept = 0
n = 356, r = 1, dH = -0.144328, is_accept = 1
n = 357, r = 0.69476, dH = 0.364188, is_accept = 1
n = 358, r = 0.383919, dH = 0.957323, is_accept = 0
n = 359, r = 1, dH = -0.280015, is_accept = 1
n = 360, r = 0.000107942, dH = 9.13392, is_accept = 0
n = 361, r = 0.354061, dH = 1.03828, is_accept = 0
n = 362, r = 0.825683, dH = 0.191544, is_accept = 1
n = 363, r = 1, dH = -0.00915403, is_accept = 1
n = 364, r = 0.944225, dH = 0.0573905, is_accept = 1
n = 365, r = 1, dH = -0.11088, is_accept = 1
n = 366, r = 1, dH = -0.0736282, is_accept = 1
n = 367, r = 1, dH = -0.362196, is_accept = 1
n = 368, r = 1, dH = -0.0488592, is_accept = 1
n = 369, r = 0.803176, dH = 0.219181, is_accept = 0
n = 370, r = 1, dH = -0.16899, is_accept = 1
n = 371, r = 0.00140441, dH = 6.56814, is_accept = 0
n = 372, r = 0.835652, dH = 0.179543, is_accept = 1
n = 373, r = 0.816219, dH = 0.203073, is_accept = 0
n = 374, r = 1, dH = -0.189384, is_accept = 1
n = 375, r = 0.381096, dH = 0.964705, is_accept = 0
n = 376, r = 0.958911, dH = 0.0419575, is_accept = 1
n = 377, r = 1, dH = -0.357171, is_accept = 1
n = 378, r = 0.0527016, dH = 2.94311, is_accept = 0
n = 379, r = 1, dH = -0.068545, is_accept = 1
n = 380, r = 0.687553, dH = 0.374617, is_accept = 1
n = 381, r = 0.785956, dH = 0.240854, is_accept = 1
n = 382, r = 1, dH = -0.441942, is_accept = 1
n = 383, r = 0.725741, dH = 0.320562, is_accept = 0
n = 384, r = 0.901966, dH = 0.103178, is_accept = 1
n = 385, r = 0.739516, dH = 0.301759, is_accept = 1
n = 386, r = 0.925202, dH = 0.0777434, is_accept = 1
n = 387, r = 0.641165, dH = 0.444468, is_accept = 0
n = 388, r = 0.88724, dH = 0.119639, is_accept = 1
n = 389, r = 0.938896, dH = 0.0630511, is_accept = 1
n = 390, r = 0.0716061, dH = 2.63658, is_accept = 0
n = 391, r = 1, dH = -0.246792, is_accept = 1
n = 392, r = 1, dH = -1.06373, is_accept = 1
n = 393, r = 1, dH = -0.0236025, is_accept = 1
n = 394, r = 0.964313, dH = 0.036339, is_accept = 0
n = 395, r = 0.000687467, dH = 7.2825, is_accept = 0
n = 396, r = 1, dH = -0.0033693, is_accept = 1
n = 397, r = 0.956374, dH = 0.0446063, is_accept = 1
n = 398, r = 1, dH = -0.240637, is_accept = 1
